Class,Precision,Recall,F1-Score,Support
Actinic keratoses,0.9438202247191011,0.84,0.888888888888889,100
Basal cell carcinoma,0.8269230769230769,0.945054945054945,0.882051282051282,91
Benign keratosis-like lesions,0.7676767676767676,0.6846846846846847,0.7238095238095238,111
Dermatofibroma,0.967741935483871,1.0,0.9836065573770492,90
Melanocytic nevi,0.8194444444444444,0.6413043478260869,0.7195121951219512,92
Melanoma,0.6016949152542372,0.7395833333333334,0.663551401869159,96
Vascular lesions,0.96,1.0,0.9795918367346939,120
