Class,Precision,Recall,F1-Score,Support
Actinic keratoses,0.9285714285714286,0.91,0.9191919191919193,100
Basal cell carcinoma,0.9166666666666666,0.8461538461538461,0.8799999999999999,91
Benign keratosis-like lesions,0.7565217391304347,0.7837837837837838,0.7699115044247786,111
Dermatofibroma,0.9183673469387755,1.0,0.9574468085106383,90
Melanocytic nevi,0.88,0.717391304347826,0.7904191616766466,92
Melanoma,0.7222222222222222,0.8125,0.7647058823529411,96
Vascular lesions,0.9836065573770492,1.0,0.9917355371900827,120
