,loss,accuracy,val_loss,val_accuracy,lr
0,1.9619628190994263,0.360232949256897,1.4292702674865723,0.47727271914482117,1e-04
1,1.4380472898483276,0.47670549154281616,1.2619388103485107,0.5198863744735718,1e-04
2,1.2403864860534668,0.5449251532554626,1.1640228033065796,0.5653409361839294,1e-04
3,1.1233981847763062,0.5707154870033264,1.06486177444458,0.6022727489471436,1e-04
4,1.0412441492080688,0.6177204847335815,1.0237168073654175,0.6079545617103577,1e-04
5,0.9492223858833313,0.6509983539581299,0.9638427495956421,0.6505681872367859,1e-04
6,0.8736222982406616,0.6821545958518982,0.9086585640907288,0.6704545617103577,1e-04
7,0.8214693665504456,0.6963394284248352,0.908565878868103,0.6846590638160706,1e-04
8,0.812127411365509,0.6867720484733582,0.8241906762123108,0.6846590638160706,1e-04
9,0.7281311750411987,0.7321131229400635,0.8331304788589478,0.6903409361839294,1e-04
10,0.7103186845779419,0.7333610653877258,0.7685480713844299,0.7244318127632141,1e-04
11,0.6982390880584717,0.7283693552017212,0.7753497958183289,0.7301136255264282,1e-04
12,0.6305301189422607,0.7637271285057068,0.7482122182846069,0.7528409361839294,1e-04
13,0.5955397486686707,0.7857736945152283,0.6808948516845703,0.7670454382896423,1e-04
14,0.5683472156524658,0.7957570552825928,0.7313844561576843,0.7642045617103577,1e-04
15,0.5605114102363586,0.7953410744667053,0.6866852045059204,0.7698863744735718,1e-04
16,0.5092986822128296,0.8157237768173218,0.6470266580581665,0.7670454382896423,1e-04
17,0.5228918790817261,0.8119800090789795,0.6237016320228577,0.7869318127632141,1e-04
18,0.4784211218357086,0.8244592547416687,0.6154800057411194,0.8039772510528564,1e-04
19,0.4551929235458374,0.8327786922454834,0.6537929177284241,0.7840909361839294,1e-04
20,0.44392967224121094,0.8406822085380554,0.5661658048629761,0.7982954382896423,1e-04
21,0.43656837940216064,0.8398502469062805,0.6184489130973816,0.7784090638160706,1e-04
22,0.39338579773902893,0.8581531047821045,0.6419081091880798,0.7840909361839294,1e-04
23,0.4047293961048126,0.8535773754119873,0.5624635219573975,0.8068181872367859,1e-04
24,0.37893763184547424,0.8656405806541443,0.5936546921730042,0.8096590638160706,1e-04
25,0.39157989621162415,0.8610649108886719,0.5874127745628357,0.7954545617103577,1e-04
26,0.35932186245918274,0.8677204847335815,0.6414268016815186,0.7982954382896423,1e-04
27,0.3251879811286926,0.8868552446365356,0.5293676853179932,0.8068181872367859,1e-04
28,0.3351346552371979,0.8831114768981934,0.5525052547454834,0.8153409361839294,1e-04
29,0.3208693265914917,0.8822795152664185,0.5153114199638367,0.8295454382896423,1e-04
