,loss,accuracy,val_loss,val_accuracy,lr
0,1.6106526851654053,0.3793677091598511,1.2808672189712524,0.5255681872367859,1e-04
1,1.227442741394043,0.5544925332069397,1.032264232635498,0.6278409361839294,1e-04
2,1.0794036388397217,0.6010815501213074,0.9514913558959961,0.65625,1e-04
3,0.9299062490463257,0.6522462368011475,0.8696832060813904,0.6818181872367859,1e-04
4,0.8533361554145813,0.6759567260742188,0.8135900497436523,0.6988636255264282,1e-04
5,0.7753909826278687,0.7258735299110413,0.7907900214195251,0.7073863744735718,1e-04
6,0.6967734694480896,0.7512479424476624,0.7602571845054626,0.7102272510528564,1e-04
7,0.6660947799682617,0.7558236122131348,0.7142124176025391,0.7215909361839294,1e-04
8,0.6134216785430908,0.7824459075927734,0.7290477752685547,0.7443181872367859,1e-04
9,0.5755566358566284,0.7932612299919128,0.6988912224769592,0.7471590638160706,1e-04
10,0.5503532886505127,0.80033278465271,0.676215410232544,0.7443181872367859,1e-04
11,0.5094462633132935,0.8169717192649841,0.6862127184867859,0.7585227489471436,1e-04
12,0.4788244068622589,0.8261231184005737,0.7791383862495422,0.7272727489471436,1e-04
13,0.46168088912963867,0.8277870416641235,0.5909088850021362,0.7755681872367859,1e-04
14,0.41855210065841675,0.8552412390708923,0.6071950793266296,0.8096590638160706,1e-04
15,0.3911410868167877,0.8585690259933472,0.6882913708686829,0.7954545617103577,1e-04
16,0.3744053542613983,0.8677204847335815,0.725691020488739,0.7642045617103577,1e-04
17,0.36378249526023865,0.8702163100242615,0.6844067573547363,0.7982954382896423,1e-04
18,0.3689240515232086,0.8752079606056213,0.6974262595176697,0.7982954382896423,1e-04
19,0.332914799451828,0.8939267992973328,0.712648332118988,0.7954545617103577,1e-04
20,0.3225182294845581,0.888103187084198,0.7302908301353455,0.7869318127632141,1e-04
21,0.30859434604644775,0.8893510699272156,0.6992477178573608,0.7982954382896423,1e-04
22,0.2975311279296875,0.8901830315589905,0.6527603268623352,0.8238636255264282,1e-04
23,0.282953143119812,0.9005823731422424,0.6818947196006775,0.8068181872367859,1e-04
24,0.2846548855304718,0.9055740237236023,0.6930925846099854,0.8267045617103577,1e-04
25,0.2792762815952301,0.9043261408805847,0.6608108282089233,0.8153409361839294,1e-04
26,0.2652357220649719,0.9093177914619446,0.7259415984153748,0.7982954382896423,1e-04
27,0.2625025510787964,0.9076539278030396,0.7228925228118896,0.7897727489471436,1e-04
28,0.24437285959720612,0.9130615592002869,0.7193843126296997,0.8295454382896423,1e-04
29,0.2296590954065323,0.9168053269386292,0.6685498952865601,0.8267045617103577,1e-04
