Class,Precision,Recall,F1-Score,Support
Actinic keratoses,0.9148936170212766,0.86,0.8865979381443299,100
Basal cell carcinoma,0.8541666666666666,0.9010989010989011,0.8770053475935828,91
Benign keratosis-like lesions,0.6694214876033058,0.7297297297297297,0.6982758620689656,111
Dermatofibroma,0.945054945054945,0.9555555555555556,0.9502762430939227,90
Melanocytic nevi,0.8292682926829268,0.7391304347826086,0.7816091954022988,92
Melanoma,0.7127659574468085,0.6979166666666666,0.7052631578947368,96
Vascular lesions,0.9836065573770492,1.0,0.9917355371900827,120
