,loss,accuracy,val_loss,val_accuracy,lr
0,1.3979406356811523,0.46753793954849243,1.0359346866607666,0.625,1e-04
1,1.0421940088272095,0.6134064197540283,0.882929801940918,0.6937500238418579,1e-04
2,0.8685780167579651,0.6774873733520508,0.7771875262260437,0.737500011920929,1e-04
3,0.7499735355377197,0.7234401106834412,0.9422510266304016,0.6499999761581421,1e-04
4,0.7283010482788086,0.7255480885505676,0.7772034406661987,0.762499988079071,1e-04
5,0.6008031964302063,0.7820404767990112,0.7107003927230835,0.7562500238418579,1e-04
6,0.5232138633728027,0.8069139719009399,0.6365503072738647,0.78125,1e-04
7,0.45965775847435,0.8284148573875427,0.5492820739746094,0.8125,1e-04
8,0.40954071283340454,0.8524451851844788,0.6209414601325989,0.793749988079071,1e-04
9,0.374962717294693,0.8646711707115173,0.5897805094718933,0.793749988079071,1e-04
10,0.39307889342308044,0.8566610217094421,0.48736387491226196,0.8687499761581421,1e-04
11,0.31135720014572144,0.8861719965934753,0.6857019662857056,0.800000011920929,1e-04
12,0.30405136942863464,0.889544665813446,0.5179301500320435,0.8062499761581421,1e-04
13,0.2996040880680084,0.8954468965530396,0.6911539435386658,0.800000011920929,1e-04
14,0.23227764666080475,0.9207419753074646,0.5599868893623352,0.8687499761581421,1e-04
15,0.2823592722415924,0.9038785696029663,0.880732536315918,0.793749988079071,1e-04
16,0.2184211015701294,0.9262226223945618,0.6708160638809204,0.8187500238418579,1e-04
17,0.18556103110313416,0.9317032098770142,0.592418909072876,0.84375,1e-04
18,0.16354866325855255,0.9422428607940674,0.45952218770980835,0.8687499761581421,1e-04
19,0.15084779262542725,0.9494243264198303,0.4959028661251068,0.8500000238418579,1e-04
20,0.14897321164608002,0.9473018646240234,0.6127239465713501,0.8687499761581421,1e-04
21,0.13631480932235718,0.9544687867164612,0.4600028395652771,0.893750011920929,1e-04
22,0.13035430014133453,0.960792601108551,0.49941664934158325,0.856249988079071,1e-04
23,0.12796922028064728,0.9572368264198303,0.3991561532020569,0.8999999761581421,1e-04
24,0.11259455233812332,0.9650084376335144,0.455273300409317,0.887499988079071,1e-04
25,0.15897628664970398,0.9485666155815125,0.5238014459609985,0.8687499761581421,1e-04
26,0.08883830904960632,0.9688026905059814,0.5390132069587708,0.8687499761581421,1e-04
27,0.12231320142745972,0.9603710174560547,0.8232654333114624,0.84375,1e-04
28,0.09581570327281952,0.9641652703285217,0.9088467359542847,0.824999988079071,1e-04
29,0.13825927674770355,0.9515177011489868,0.8367834091186523,0.856249988079071,1e-04
